english,old_english
"Our Father who art in heaven, hallowed be Thy name. Thy kingdom come, Thy will be done, on earth as it is in heaven. Give us this day our daily bread, and forgive us our offenses, as we forgive our offenders, and lead us not to temptation, but free us from evil. Truly.",Fæder ure þu þe eart on heofonum; Si þin nama gehalgod to becume þin rice gewurþe ðin willa on eorðan swa swa on heofonum. urne gedæghwamlican hlaf syle us todæg and forgyf us ure gyltas swa swa we forgyfað urum gyltendum and ne gelæd þu us on costnunge ac alys us of yfele soþlice.
Do you speak Russian?,Spricest þú on Russisce?
goodbye!,far gesund!
do you love me?,lufast ðū mē?
he sold all that he owned.,hē sealde eall ðæt hē āhte.
Thank you!,Ic þancie þé!
that is your book.,þæt is þīn bōc.
say it.,sæge hit.
Do you believe in God?,Gelīefst þū on God?
A friend in need is a friend indeed.,Æt þearfe man sceal freonda cunnian.
War is evil.,Gefeoht biþ yfel.
John gave an apple to Mary.,Iohannes ġeaf Marian ǣnne æppel.
tom's not jewish.,tom ne biþ iūdēsiċne.
Thanks.,Þancie!
That child is Edward's son.,Þæt ċild is Ēadweardes sunu.
who wants to see me?,hwā wile ġesēon mē?
i have four children.,ic hæbbe fēower tudru.
Where have you been?,Hƿǣr ƿǣron ᵹē?
he drank a beer.,hē dranc bēor.
"You may write in any language you want. On Tatoeba, all languages are equal.",Þu mægst in ealle geþeodu writan. On Tatoeba sindon ealle geþeodu gelic.
"then on the third day, when they saw the mountain where they had to go to slay isaac, then abraham said to those two servants thus:","þa on þam þriddan dæge, þa hie þa dune gesawon þær þær hie to scoldon to ofsleanne isaac, þa cwæð abraham to þam twam cnapum þus:"
Let's get going.,Onginnað.
i hate spiders.,ic hatige spīþran.
You're my comrade.,Þu eart min freond.
in the beginning god created heaven and earth.,on angynne gesceop god heofenan and eorðan.
Bye.,Far gesund!
Where's your brother?,Hƿær is þin broðor?
bon appétit!,gōd metesōcn!
"he then bound his son, and took up his sword, in order to sacrifice him in the ancient manner.","he geband þa his sunu, and his sweord ateah, þæt he hine geoffrode on þa ealdan wisan."
An apple sits on the table.,Þǣr is æppel on þǣm bēode.
Why is that?,Hwy?
Run!,Iern!
I'm a lady.,Iċ eom wīf.
john gave mary the apple.,iohannes ġeaf marian þone æppel.
kill.,cwele.
"rock, paper, scissors.","stānrocc, carte, sċēara."
Bon appetit.,Gōd metesōcn!
"God then wanted to test Abraham's obedience, and called out his name.","God wolde þa fandian Abrahames gehiersumnesse, and clipode his naman."
He's old.,Hē is eald.
peace to you.,friþ ēow.
Eat the bread!,Etaþ se hlāf!
I know that I don't know.,Ic wat þæt ic nat.
He is my king.,He biþ mīn cyninge.
G'day.,Gōdne ǣfen.
I'm gay.,Ic bēo ilcahæmedeþ.
You're my friend.,Þu eart min freond.
And how can he do that?,And hū mæg hē þæt dōn?
Let's get started.,Onginnað.
"one, two, three, four, five, six, seven, eight, nine, ten.","ān, twā, þrī, fēower, fīf, sex, seofon, eahta, niġon, tīen."
the man is young.,sē mann is ġeong.
Learn French.,Leorniaþ Frencisc.
The cat is dead.,Se hund is dēad.
My brother lives in Tokyo.,Mīn brōþor leofaþ on Tokyo.
tom didn't have enough money.,tom ne hæfde ᵹe-nōgne fēoh.
She baked bread.,Hēo bōc hlāf.
"I can hear you, but I can't see you.","Ič mæᵹ hȳran þē, ac ič ne mæᵹ sēon þē."
Open the window.,Opena se ēagþȳrel.
Can you speak English?,Cannst þú Enȝlisc?
I don't get the point.,Ic ne forstande.
"no one says ""i am plowed"", but in the third person it is ""the land is plowed""; bibo ""i drink"", bibitur uinum ""the wine is drunk""; manduco ""i eat"", manducatur panis ""the bread is eaten""; laboro ""i work"", laboratur uestis ""the clothing is worn out"", et cetera.","ne cƿeð nan mann ""ic eom geerod"" ac on ðam ðriddan hade ys gecƿeden: aratur terra ""þæt land ys geerod""; bibo ""ic drince"", bibitur uinum ""þæt ƿin ys gedruncen""; manduco ""ic ete"", manducatur panis ""se hlaf is geeten""; laboro ""ic sƿince"", laboratur uestis ""þæt hrægl is besƿuncen"", et cetera."
I killed God.,Iċ ofslōg God.
free scotland!,frēoġaþ scotland!
i have bread.,ic hæbbe hlāf.
Close the window.,Clȳs se ēagþȳrel.
i have a cat and a dog. the cat's black and the dog's white.,ič hæbbe catt and hund. se catt is blæc and se hund is hƿīte.
ziri will be there.,ziri wille bēon þǣr.
I saw it happen.,Ic geseah þæt befeallan.
wash your hands to stay healthy.,bēðaþ ēowre handa to belīfan hāl.
we two know that you two lie.,wit witon þe ᵹit lēoᵹaþ.
where have you been?,hƿǣr ƿǣron ᵹē?
Here I am.,Hēr eom ic.
Passover is a Jewish holiday that commemorates the liberation of the Jews by God from slavery in Egypt.,Iūdaisc Pascha is symbel þæt gemuneþ hū God þā Iūdeas of þēowdōme of Ēgypte ālȳsde.
our country wants nothing but peace.,ƿile ūser land nān-ƿiht būtan friþ.
my father cut wood with a saw.,mīn fæder wudode mid sagan.
I didn't know that it was there.,"Ič ne cnēƿ, þe hē þǣr ƿæs."
Good.,God.
His wife is a Frenchwoman.,Mīn wīfmann biþ Frenċisċ.
Where's your house?,Hwǣr wunast þū?
I'm a man.,Iċ eom wær.
What's a word?,Hƿæt biþ ƿord?
i am the state.,iċ biþ þæt rīċe.
i'm not a doctor.,iċ ne bēo lǣce.
Where have you been living?,Hwǣr wunast þū?
god save the queen!,god nere sēo cwēne!
"hey, how are you?","hui, hū færst þū?"
welcome to tatoeba.,wilcume be tatoeba
I'm not acquainted with the man.,Ič ne cann hine.
I climb mountains.,Ic climbe beorgas.
You're my dude.,Þu eart min freond.
Today is Sunday.,Tō-dæᵹ is Sunnan-dæᵹ.
"january, february, march, april, may, june, july, august, september, october, november and december are the twelve months of the year.","se æftera ġēola, solmōnaþ, hrēðmōnaþ, ēastermōnaþ, þrimilcemōnaþ, sēarmōnaþ, mǣdmōnaþ, ƿēodmōnaþ, hærfestmōnaþ, ƿinterfylleþ, blōtmōnaþ, and ġēolamōnaþ sind tƿelf þāra mōnaþa þæs ᵹēares."
He had a beer.,Hē dranc bēor.
He has green eyes.,Hē hæfþ grēne ēagan.
i know that i do not know.,ic wat þæt ic nat.
Do you not know how to hunt with anything but nets?,Ne canst þu huntian butan mid nettum?
the tomcat's dead.,se catt is dēad.
Leg it!,Iern!
Feed the bird!,Fēd se fugol.
i'm a woman.,iċ eom wīf.
"Arise, children of the fatherland!",Uton gan cildru þæs fæderlandes.
We have to decide immediately.,Wē mōton sōna ġesċeādan.
only god knows.,ænliċ god cnǣwþ.
the apple is not yet ripe.,se æppel ne is ᵹit rīpe.
She took our money.,Hēo tōc ūre feoh.
she has a cat. the cat is white.,hēo hæfþ catt. se catt is hƿīte.
I am a woman.,Iċ eom wīf.
I promise!,Ic ġehāte.
Tom and Mary are living somewhere else.,Tom and Mary libbaþ elles hwær.
Aye.,Gea.
The mountain is green.,Se beorg biþ grēne.
Who hurt Tom?,Hwa wierde Tom?
Do you know English?,Cannst þú Enȝlisc?
I don't have to say anything.,Ic ne hæbbe to secgenne ænig ðing.
I was only ten years old when my mother died.,Ic wæs buton tīen wintra eald þā mīn mōdor dēad wæs.
thank you!,þancie!
"she was a girl, and he was a boy.","hēo wæs mǣġþ, and hē wæs cnapa."
nancy is from london.,nancy biþ of lundene.
It's Sunday today.,Tō-dæᵹ is Sunnan-dæᵹ.
The old grandfather read his grandchildren a story.,Sē ealda fæder rædde his nēfum spell.
You'll be with me.,þū eart mid mē.
I did not understand.,Ic ne forstande.
"'Take your only begotten son Isaac, whom you love, quickly go to the land of vision, and sacrifice him there upon a mountain.'","'Nim þinne ancennedan sunu Isaac, þe þu lufast, and far to þam lande Visionis hraðe, and geoffra hine þær uppan anre dune.'"
Good night.,Gōdne ǣfen.
i do not understand.,ic ne forstande.
Life is short.,Līf biþ sċort.
I know him.,Ic cann hine.
we are brothers.,wē bēoþ brōþra.
You're lying.,Ðū līhst.
"Tom is old, but he's young at heart.","Þómas ġēarum frōd, ġyt on gǣste ġeong."
He found the key.,Hē fand þā cǣġe.
Where do you live?,Hwǣr wunast þū?
I heart you.,Ič lufie þē.
It's almost seven. We have to go to school.,Stund biþ ymbe seofon. We moton to scole gangan.
The dog's dead.,Se catt is dēad.
The apple is red.,Se æppel biþ rēad.
there is an apple on the table.,þǣr is æppel on þǣm bēode.
"our father who art in heaven, hallowed be thy name. thy kingdom come, thy will be done, on earth as it is in heaven. give us this day our daily bread, and forgive us our offenses, as we forgive our offenders, and lead us not to temptation, but free us from evil. truly.","fæder ūre þū þe eart on heofonum; sī þīn nama ġehālgod, tōbecume þīn rīċe, ġewurþe ðīn willa, on eorðan swā swā on heofonum. ūrne ġedæġhwāmlīcan hlāf syle ūs tō dæġ, and forgyf ūs ūre gyltas, swā swā wē forgyfað ūrum gyltendum, and ne ġelǣd þū ūs on costnunge, ac ālȳs ūs of yfele. sōþlīċe."
horses are animals.,hors bēoþ dēor.
the king is naked!,se cyning is nacodne.
What type of word is this?,Hƿæt is þis ƿord?
"'Now that I have realized that you truly fear God, now that you would slay your only begotten son for him.'","'Nu ic oncneow soðlice þæt þu swiðe ondrætst God, nu þu þinne ancennedan sunu ofslean woldest for him.'"
this apple is red.,þes æppel biþ rēad.
i saw it happen.,ic geseah þæt befeallan.
"I swear to me himself, said the Almighty, now that you would not spare your only begotten son,","'Ic swerie þurh me selfne, sægde se Ælmihtiga, nu þu noldest arian þinum ancennedan suna,'"
I do love you.,Ič lufie þē.
Tom's dead.,Tom is dēad.
she had an excellent wife.,hēo hæfde ān ǣnliċ wīf.
we know.,wē cnāwaþ.
Hang on.,Bid!
Life was better in the olden days.,Līf wæs betere geārdagum.
He sold all that he owned.,Hē sealde eall ðæt hē āhte.
When are you coming home?,Hƿonne cymest þū hām?
This apple is red.,Þes æppel biþ rēad.
Jesus was born in Bethlehem.,Hǣlend wǣs bær on Bethleeme.
Everyone dies.,Ælc mann sweltaþ.
i am a fish.,bēo fisċ.
when are you coming home?,hƿonne cymest þū hām?
She worked.,Hēo worhte.
"we should not touch that tree, for fear that it may kill us.","wē ðæt trēow ne hrepodon, ðī lǣs ðe wē swelton."
Many happy returns of the day!,Gesǣlig Nīwe Gēar.
"i'm also faring well, thank you.","iċ fare wel, eallswā, þancie þē."
new york is called the big apple.,man hǣt þā burge nīƿes eoforƿīčes þone grēatan æppel.
God knows.,God cnǣwþ.
it's your book.,þæt is þīn bōc.
the apple is red.,se æppel biþ rēad.
He loved him.,He lufode hine.
Love John.,Lufa Iohannes.
He had a very beautiful wife.,Hē hæfde ān swīþe ǣnliċ wīf.
She had a beautiful wife.,Hēo hæfde ān ǣnliċ wīf.
The mammal is dead.,Se catt is dēad.
When are you coming home?,Hƿonne cumaþ ᵹē hām?
Good-bye.,Gōdne ǣfen.
Tom goes to the same school as Mary does.,Tom gæþ to seolfre scole swa Mary.
he hates spiders.,he hataþ spīþran.
You mean the world to me.,Þú bist eall tó mé.
What word is this?,Hƿæt is þis ƿord?
She had an excellent wife.,Hēo hæfde ān ǣnliċ wīf.
i am in london.,ic bēo on lundene.
my brother lives in tokyo.,mīn brōþor leofaþ on tokyo.
she buys bread.,hēo bygþ hlāf.
"One, two, three, four, five, six, seven, eight, nine, ten.","Ān, twā, þrī, fēower, fīf, sex, seofon, eahta, niġon, tīen."
Fire!,Fȳr!
"When Darius saw that he would be overcome, he wanted to commit suicide in that battle.","Þa Darius geseah þæt he overƿunnen beon ƿolde, þa ƿolde he hiene selfne on ðæm gefeohte forspillan."
i am me.,ic beo ic.
good evening.,gōdne ǣfen.
they are my brothers.,hie sindon mine broðor.
You are lying.,Ðū līhst.
The spear missed Tom.,Se gār miste Tom.
This is a time of year when people get together with family and friends to observe Passover and to celebrate Easter.,Þis is swilc tīma ġēares þonne folc tōgædere cumeþ mid cynne and frēondum tō hālgienne þæt Iūdaisce Pascha and þæt Crīsten Pascha.
i don't have to say anything.,ic ne hæbbe to secgenne ænig ðing.
Leg it!,Rinn!
Where do you work?,Hwǣr wyrcest þū?
"'Your offspring shall possess their enemies' gates, and in your seed shall be all nations blessed because you obeyed my command thus.'","'Þin ofspring sceal agan hira feonda gatu, and on þinum sæde beoð ealle þeoda gebletsode for þam þe þu gehiersumodest minre hæse þus.'"
He lived with us.,Hē lifde mid ūs.
it is said that he was very rich.,man sæᵹeþ þe hē sƿīðe ƿelig ƿæs.
John gave an apple to Mary.,Iohannes ġeaf Marian þone æppel.
I like both cats and dogs.,Mē līciaþ ᵹe hundas ᵹe cattas.
i have twenty-six cattle outside my house.,ic hæbbe syx ond twentig fēoh būtan mīn hūs.
I didn't know that he was there.,"Ič ne ƿiste, þe hē þǣr ƿæs."
A language is a dialect with an army and navy.,Sum spræce biþ geþeode mid hererincum and scipum.
Could I place this here?,Mæg iċ þis hēr leċġan?
You lie.,Ðū līhst.
I am in good health.,Ic eom gesund.
An apple tree grows apples.,Æppel-trēow ᵹifeþ æppel.
"Abraham then arose in the same night, and went with two servants to the distant land, together with Isaac, riding on donkeys.","Abraham þa aras on þære ilcan nihte, and ferde mid twam cnapum to þam fierlenan lande, and Isaac samod, on assum ridende."
I've got to make breakfast for him.,Ic mōt him morgenmete gecōcian.
He has green eyes.,Hēo hæfþ grēne ēagan.
I have bread.,Ic hæbbe hlāf.
the ship sailed over the water.,þæt sċip seġled ōfer þæm wætere.
He's studying botany.,Hē leornaþ wyrtas.
This is the lady who wants to see you.,Þēos is sēo hlǣfdīge þe wile sēon þec.
the wolf ate the bone.,se wulf æt þæt bān.
I like to eat.,Ic līciġe tо̄ etan.
I'm a guy.,Iċ eom wær.
I always carry them with me.,Ic ā hīe mid mē bere.
This is my daughter.,Þæt is mīn dōhtor.
You and I are well.,Ge and ic sind wel.
The cat eats the bird.,Se catt itt þone fugol.
"Our Father who art in Heaven, Hallowed be thy name; Thy kingdom come Thy will be done On earth as it is in heaven. Give us this day our daily bread; And forgive us our trespasses As we forgive those who trespass against us; And lead us not into temptation, But deliver us from evil.",Fæder ure þu þe eart on heofonum; Si þin nama gehalgod to becume þin rice gewurþe ðin willa on eorðan swa swa on heofonum. urne gedæghwamlican hlaf syle us todæg and forgyf us ure gyltas swa swa we forgyfað urum gyltendum and ne gelæd þu us on costnunge ac alys us of yfele soþlice.
i love you!,ic lufige þē!
Tom is teaching us French.,Tom lǣreþ ūs þā Frenciscan sprǣc.
I don't know him.,Ič ne cann hine.
My mistake!,Min miscennung.
what word is that?,hƿæt is þis ƿord?
she lives in london.,hēo wunaþ on lundene.
Why did you buy it?,Hƿȳ bohtest þū hit?
Do you speak English?,Cannst þú Enȝlisc?
he is young.,hē is ġeong.
Run.,Rinn!
Nay.,Ne.
He drank beer.,Hē dranc bēor.
I'm eighteen.,Iċ eom eahtatīne ġear eald.
There's an apple on the table.,Þǣr is æppel on þǣm bēode.
John gave Mary an apple.,Iohannes ġeaf Marian þone æppel.
Where were you?,Hƿǣr ƿǣron ᵹē?
one sees clearly only with the heart. what is essential is invisible to the eye.,sēo heorte ǣnlīċe can wel sēon. þæt weorþlīċe is ēaġum unġesewen.
where is your brother?,hƿær is þin broðor?
do you believe in god?,gelīefst þū on god?
learn french.,leorniaþ frencisc.
"And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.","La, min diegolnes. Heo is swiþe anfeald: Seo heorte ana mæg geseon wel. Ne magon þa eagan na geseon þæt þæt is healic."
happy new year!,gesǣlig nīwe gēar.
"""Where's his book?"" ""It's on the table.""","""Hƿǣr is his bōc?"" ""Hēo is on þǣm bēode."""
I like winter.,Iċ wille winter.
The dreadful fire shall be hot to many.,Hát biþ monegum egeslíc æled.
one language is never enough.,ān geþēode is nǣfre genōg.
"good morning, everyone.","gōdne morgen, ǣg-hƿā."
that child is edward's son.,þæt ċild is ēadweardes sunu.
you are my friend.,þu eart min freond.
Hi.,Gōdne ǣfen.
He is old.,Hēo biþ eāld.
yes.,gea.
i am the state!,iċ biþ þæt rīċe!
This wood isn't hard.,Þis wudu nis heard.
The dog is on the chair.,Se hund is on þǣm stōle.
Take off your socks.,Dō of þin soccas.
Tom hates foreigners.,Tom hataþ ūtlendan.
Feed the bird.,Fēd se fugol.
He had a very beautiful wife.,Hēo hæfde ān swīþe ǣnliċ wīf.
I want to go to school.,Ic wille to gān tō scōle.
The dead shall rise up again!,Þa deadan sculon arisan.
i live outside of the city.,ic wunige wiþūtan þone tūn.
Let's start.,Onginnað.
"water, please.","wæter, bidde."
Kill.,Cwele!
if only you were a dog!,ēalā gif þū wǣre hund!
Let's get this started.,Onginnað.
Thank God!,Þancīe God!
Who wants to see me?,Hwā wile ġesēon mē?
I give you my word.,Ic ġehāte.
Do you speak Russian?,Cannst þú Russisc?
I am well.,Ic eom gesund.
"But that your fear of me was greater than his life, now I bless you and your offspring, just so that they multiply like the stars in the heavens and just as grains of sand on the sea.","'Ac þe wæs min ege mare þonne his lif, ic þe nu bletsie and þinne ofspring gemanigfealde swa swa steorran on heofonum and swa swa sandceosol on sæ.'"
She's got a cat. The cat's white.,Hēo hæfþ catt. Se catt is hƿīte.
Who's God?,Hwā is God?
The birds fly.,Fuglas flēogaþ.
Where do you guys live?,Hwǣr wunast þū?
That man is the king.,Se mann is se cyning.
Good bye!,Far gesund!
Where is your brother?,Hƿær is þin broðor?
"Let's eat, Grandma.","Uton etan, ealdmodor."
In the beginning God created Heaven and Earth.,On angynne gesceop God heofenan and eorðan.
where do you live?,hwǣr wunast þū?
i am well.,ic eom gesund.
In the beginning God created the heavens and the earth.,On angynne gesceop God heofenan and eorðan.
I am 18 years old.,Iċ eom eahtatīne ġear eald.
good bye!,far gesund!
i am a woman.,iċ eom wīf.
I know you're rich.,Ic wāt þe biþ rīċe.
I'll see you around.,Far gesund!
"""Where is his book?"" ""It is on the table.""","""Hƿǣr is his bōc?"" ""Hēo is on þǣm bēode."""
I'm healthy.,Ic eom gesund.
Tom's my friend.,Tom is min freond.
"my god, my god, why hast thou forsaken me?","mīn god, mīn god, tō hwȳ forlēte þū mē?"
Dead?,Dead?
the spear missed tom.,se gār miste tom.
uranus is a planet.,uranus is ān planēta.
welcome to tatoeba!,wilcume be tatoeba
"O Our Father in Heaven, Holy be your name, Your Kingdom come, Your will be done, on earth, as it is in heaven. Give us this day our daily bread, and forgive us our sins, as we also have forgiven our sinners. And lead us not into temptation, but deliver us from evil.",Fæder ure þu þe eart on heofonum; Si þin nama gehalgod to becume þin rice gewurþe ðin willa on eorðan swa swa on heofonum. urne gedæghwamlican hlaf syle us todæg and forgyf us ure gyltas swa swa we forgyfað urum gyltendum and ne gelæd þu us on costnunge ac alys us of yfele soþlice.
We're brothers.,Wē bēoþ brōþra.
the tom's dead.,se catt is dēad.
I am your king.,Ic bēo ēowre cyninge.
"He then bound his son, and took up his sword, in order to sacrifice him in the ancient manner.","He geband þa his sunu, and his sweord ateah, þæt he hine geoffrode on þa ealdan wisan."
He was a good cat.,Hēo wæs gōd catte.
I don't get it.,Ic ne forstande.
my mistake.,min miscennung.
Nancy is from London.,Nancy biþ of Lundene.
open the window.,opena se ēagþȳrel.
we're brothers.,wē bēoþ brōþra.
Do you know where Tom wants to live?,Wēst þū hwǣr Tom wunian wile?
i'm a man.,iċ eom wær.
do you know english?,cannst þú enȝlisc?
they eat meat.,hie etaþ brædeas.
The dog is dead.,Se hund is dēad.
shoot!,sċēot!
"O Our Father in Heaven, Holy be your name, Your Kingdom come, Your will be done, on earth, as it is in heaven. Give us this day our daily bread, and forgive us our sins, as we also have forgiven our sinners. And lead us not into temptation, but deliver us from evil.","Fæder ūre þū þe eart on heofonum; sī þīn nama ġehālgod, tōbecume þīn rīċe, ġewurþe ðīn willa, on eorðan swā swā on heofonum. Ūrne ġedæġhwāmlīcan hlāf syle ūs tō dæġ, and forgyf ūs ūre gyltas, swā swā wē forgyfað ūrum gyltendum, and ne ġelǣd þū ūs on costnunge, ac ālȳs ūs of yfele. Sōþlīċe."
good.,god.
I do not understand.,Ic ne forstande.
i know him.,ic cann hine.
What is that?,Hwā biþ þone?
i don't want to go to school.,ic nelle to þæm larhuse.
"our father in heaven, hallowed be your name. your kingdom come, your will be done, on earth as in heaven. give us today our daily bread. forgive us our sins, as we forgive those who sin against us. lead us not into temptation, but deliver us from evil.",fæder ure þu þe eart on heofonum; si þin nama gehalgod to becume þin rice gewurþe ðin willa on eorðan swa swa on heofonum. urne gedæghwamlican hlaf syle us todæg and forgyf us ure gyltas swa swa we forgyfað urum gyltendum and ne gelæd þu us on costnunge ac alys us of yfele soþlice.
You're my pal.,Þu eart min freond.
I am a human being.,Iċ eom wær.
My father cut wood with a saw.,Mīn fæder wudode mid sagan.
Read!,Ræd!
What's that?,Hwā biþ þone?
I don't want to go to school.,Ic nelle to þæm larhuse.
god exists.,god ġestenteþ.
Happy New Year!,Gesǣlig Nīwe Gēar.
Let's eat Grandma.,Uton ealdmodor etan.
A horse is an animal.,Hors bēoþ dēor.
She is old.,Hēo biþ eāld.
Winter is coming.,Winter biþ cumeþ.
I have got a cat and a dog. The cat is black and the dog is white.,Ič hæbbe catt and hund. Se catt is blæc and se hund is hƿīte.
She has a cat. The cat is white.,Hēo hæfþ catt. Se catt is hƿīte.
We have been friends.,Wē sind frīend.
Let's start!,Onginnað.
If only you were a dog!,Ēalā gif þū wǣre hund!
What are words?,Hƿæt biþ ƿord?
You guys were working.,Ge worhton.
Welcome to Tatoeba.,Wilcume be Tatoeba
Good evening.,Gōdne ǣfen.
He washed his hands and his feet.,Hē wasċode his handa and his fēt.
Many happy returns!,Gesǣlig Nīwe Gēar.
Cars have four wheels.,Wægnas habbaþ fēower wēolas.
April is the fourth month of the year.,Ēastermōnaþ is se fēorða monaþ þæs ᵹēares.
'Ppreciate it!,Þancie þé!
i believe elvis is still alive.,"ič ᵹe-lȳfe, þæt elfis ᵹiet on līfe is."
I'll see you guys later.,Far gesund!
Kill the dragon.,Cwele se draca.
I have one daughter.,Ič hæbbe dōhtor.
Does he speak English?,Cannst þú Enȝlisc?
Where have you been?,Hƿǣr ƿǣre þū?
I am not acquainted with him.,Ič ne cann hine.
"help me, tom.","forstand me, tom."
god is everywhere.,god biþ ǣġhwǣr.
We've been friends.,Wē sind frīend.
I met your girlfriend.,Ic ġemētte þīn lufestre.
john gave an apple to mary.,iohannes ġeaf marian ǣnne æppel.
The man is young.,Sē mann is ġeong.
Tom goes to the same school as Mary.,Tom gæþ to seolfre scole swa Mary.
I want a sword like this!,Ič ƿille sƿeord ᵹe-līč þissum!
I am short.,Ic bēo sċort.
You're lying!,Ðū līhst.
I'm not a doctor.,Iċ ne bēo lǣce.
He's come home.,He is to huse gecumen.
He took our money.,He toc ure feoh.
he has green eyes.,hē hæfþ grēne ēagan.
He drank a beer.,Hē dranc bēor.
Scarper!,Iern!
We know.,Wē cnāwaþ.
There is an apple on the table.,Þǣr is æppel on þǣm bēode.
"I'm also faring well, thank you.","Iċ fare wel, eallswā, þancie þē."
The wolf ate the bone.,Se wulf æt þæt bān.
Tom is passed out.,Tom is dēad.
sheep eat grass.,eóweas etaþ grádas.
it's sunday today.,tō-dæᵹ is sunnan-dæᵹ.
His true intentions are unknown to us.,His sōþan geþohtas sind ūs uncuþe.
do you speak english?,spricest þú on ænȝlisce?
The police are on their way.,Se cyning cōm.
can i help you?,mæġ ic helpe þeċ?
tom and mary are living somewhere else.,tom and mary libbaþ elles hwær.
esperanto is an international planned language.,esperanto biþ þēodeorþe geācræfted geþēode.
Correct.,Gea.
god is a flower.,god biþ blostma.
My neck hurts.,Mīn healse ace.
I don't want to go to school!,Ic nelle to þære scole.
I am okay.,Ic eom gesund.
Thank you!,Þancie þé!
today is friday.,to-dæg is frig-dæg.
what did he say?,hƿæt sæᵹde hē?
An apple is sitting on the table.,Þǣr is æppel on þǣm bēode.
Good morning.,Gōdne ǣfen.
i don't want to get injured.,ic ne wille beon wund.
john gave mary an apple.,iohannes ġeaf marian ǣnne æppel.
You have seven children.,Þu hæfst seofon cildru.
take off your socks.,dō of þin soccas.
Have a nice meal!,Gōd metesōcn!
You don't have to love your persecutor.,Mann ne þearf his ehtēre lufian.
This is your book.,Þæt is þīn bōc.
you've asked me.,þū frugne mē.
What is a word?,Hƿæt biþ ƿord?
jesus was born in bethlehem.,hǣlend wǣs bær on bethleeme.
I live outside of the city.,Ic wunige wiþūtan þone tūn.
Cheers!,Þancie þé!
My name is John.,Mīn nama biþ Iohannes.
kill the dragon.,cwele se draca.
You need to be very quiet.,Þu scealt beo swiðe stille.
cats are cute.,cattas bēoþ bleófæste.
he washed his hands and his feet.,hē wasċode his handa and his fēt.
The tom's dead.,Se catt is dēad.
i am a man.,iċ eom wær.
I like these apples.,Iċ lufiġe þās ǣpplas.
"In the beginning, God created the heavens and the earth.",On angynne gesceop God heofenan and eorðan.
Cats are cute.,Cattas bēoþ bleófæste.
I know that you're lying.,Ic becnāwe þu bist beliġest.
I know that you are rich.,Ic wāt þe biþ rīċe.
The first month of the year is January.,Se forma monaþ þæs ᵹēares is se æftera Ġēola.
praise the lord!,heriaþ se brytan.
he is old.,hē is eald.
I do like you.,Ic lufige þē!
See you.,Gōdne ǣfen.
"""And what do you drink?"" ""Ale if I have it, or water if I don't have ale."" ""Don't you drink wine?""","""⁊ hƿæt drincst þu?"" ""Ealu, ᵹif ic hæbbe, oþþe ƿæter ᵹif ic næbbe ealu."" ""Ne drincst þu ƿin?"""
you're lying.,ðū līhst.
John is eating your banana.,Iōhannēs it þīnne langan wæstm.
The king protested.,Se cyning wiþstōd.
I care about you.,Ic lufige þē!
i want to go to school.,ic wille to gān tō scōle.
january is the first month of the year.,se æftera ġēola is se forma monaþ þæs ᵹēares.
his wife is french.,mīn wīfmann biþ frenċisċ.
I hate spiders.,Ic hatige spīþran.
are you all not eating?,ge eall ne eten?
the dead shall rise up again!,þa deadan sculon arisan.
I am the State!,Iċ biþ þæt rīċe!
the dog is on the chair.,se hund is on þǣm stōle.
Let's begin.,Onginnað.
"Alfred, King of England, was a great scholar as well as a great ruler.","Ælfrēd, cyning Englalandes, ƿæs grēat leornere and ēac grēat cyning."
Where are you working?,Hwǣr wyrcest þū?
We are friends.,Wē sind frīend.
I have a cat and a dog. The cat is black and the dog is white.,Ič hæbbe catt and hund. Se catt is blæc and se hund is hƿīte.
The animal is big.,Þæt dēor is miċel.
The student came from London.,Se leornere cōm of Lundene.
what is a word?,hwæt biþ word?
I am acquainted with him.,Ic cann hine.
God is a flower.,God biþ blostma.
Say it.,Sæge hit.
Why don't you fish on the sea?,For hwi ne fixast þu on sæ?
Learn French.,Leorna Frencisc.
They are my brothers.,Hie sindon mine broðor.
I'm not following.,Ic ne forstande.
i met your girlfriend.,ic ġemētte þīn lufestre.
this is my daughter.,þæt is mīn dōhtor.
Thanks!,Þancie!
here i am.,hēr eom ic.
It is John's apple.,He is Iohannes æppel.
read!,ræd!
The airport is closed.,Sēo flyhthæfen is be-locen.
the dog's dead.,se hund is dēad.
The king is naked!,Se cyning is nacodne.
you're my friend.,þu eart min freond.
I arrived in London.,Ic ancwōm on Lundene.
"I hear you, but I don't see you.","Ič mæᵹ hȳran þē, ac ič ne mæᵹ sēon þē."
i want to dance.,ič ƿille frician.
good-bye!,far gesund!
Flies fly.,Flēogan flēogaþ.
"monday, tuesday, wednesday, thursday, friday, saturday and sunday are the seven days of the week.","mōnandæᵹ, tīƿesdæᵹ, ƿōdnesdæᵹ, ðunresdæᵹ, frīᵹedæᵹ, sæternesdæᵹ, and sunnandaᵹ sind seofan þāra daga ƿice."
The queen stood beside the king.,Sēo cƿēn stōd be þǣm cynlinge.
I didn't know that he was there.,"Ič ne cnēƿ, þe hē þǣr ƿæs."
"In hard times, you find out who your friends are.",Æt þearfe man sceal freonda cunnian.
I am in London.,Ic bēo on Lundene.
